TOP SONGS:
82;You And I;Lady Gaga;DANCE_POP;2011;307;Cancion;854914
83;Judas;Lady Gaga;DANCE_POP;2011;249;Cancion;826202
84;Tonight (Im Fuckin You);Enrique Iglesias;DANCE_POP;2011;232;Cancion;725066
85;Please Dont Go;Mike Posner;DANCE_POP;2011;197;Cancion;861896
86;We Found Love;Rihanna;BARBADIAN_POP;2011;215;Cancion;764150
87;Marry The Night;Lady Gaga;DANCE_POP;2011;265;Cancion;932976
88;1+1;Beyonce;DANCE_POP;2011;274;Cancion;147311
89;Hold It Against Me;Britney Spears;DANCE_POP;2011;229;Cancion;48463
90;Im Into You;Jennifer Lopez;DANCE_POP;2011;200;Cancion;40092
91;Papi;Jennifer Lopez;DANCE_POP;2011;223;Cancion;691511
92;Cheers (Drink To That);Rihanna;BARBADIAN_POP;2011;262;Cancion;918863
93;S&M Remix;Rihanna;BARBADIAN_POP;2011;257;Cancion;273410
94;Written in the Stars (feat. Eric Turner);Tinie Tempah;DANCE_POP;2011;220;Cancion;97835
95;Jar of Hearts;Christina Perri;DANCE_POP;2011;247;Cancion;450823
96;Castle Walls (feat. Christina Aguilera);T.I.;ATL_HIP_HOP;2011;329;Cancion;920567
97;Turning Page;Sleeping At Last;ACOUSTIC_POP;2011;255;Cancion;262625
98;Super Bass;Nicki Minaj;DANCE_POP;2011;201;Cancion;464581
99;Raise Your Glass;P!nk;DANCE_POP;2011;208;Cancion;155968
100;Invading My Mind;Jennifer Lopez;DANCE_POP;2011;201;Cancion;881495
101;Moment 4 Life - Album Version (Edited);Nicki Minaj;DANCE_POP;2011;279;Cancion;62502
102;Last Friday Night (T.G.I.F.);Katy Perry;DANCE_POP;2011;231;Cancion;505769
103;Firework;Katy Perry;DANCE_POP;2011;228;Cancion;89978
104;Muny - Album Version (Edited);Nicki Minaj;DANCE_POP;2011;227;Cancion;800941
105;Titanium (feat. Sia);David Guetta;DANCE_POP;2012;245;Cancion;90505
106;Locked Out of Heaven;Bruno Mars;POP;2012;233;Cancion;507898
107;Paradise;Coldplay;PERMANENT_WAVE;2012;279;Cancion;185449
108;Payphone;Maroon 5;POP;2012;231;Cancion;898170
109;What Makes You Beautiful;One Direction;BOY_BAND;2012;200;Cancion;480962
110;I Knew You Were Trouble.;Taylor Swift;POP;2012;220;Cancion;486422
111;Call Me Maybe;Carly Rae Jepsen;canadian POP;2012;193;Cancion;196716
